_id_,comp_externo1,comp_externo2,comp_externo3,comp_externo4
12216,43.47826087,4.309106579,75,-230
24031,284.057971,28.15282965,96,-230
42577,144.9275362,14.3636886,87,-230
80305,278.2608696,27.5782821,128,-230
25266,508.6956522,50.41654697,69,-229
61098,185.5072464,18.3855214,45,-229
81015,89.85507246,8.905486929,124,-230
81691,467.2463768,46.30853203,129,-230
68267,211.884058,20.99971273,54,-230
85778,95.65217391,6.182131571,132,-230
89741,254.2028986,25.1939098,81,-230
80691,144.9275362,4.653835105,-30,-230
86663,240.5797101,23.84372307,122,-230
13504,91.5942029,9.077851192,59,-230
16170,458.2608696,45.41798334,105,-230
57188,411.884058,40.82160299,-35,-230
35256,84.05797101,121,-230,
63766,1017.391304,100.8330939,63,-230
87219,1924.347826,117.6386096,101,-230
23851,202.8985507,20.10916403,126,-230
80360,229.5652174,7.641482333,130,-230
53577,397.1014493,36.08158575,101,-230
16711,86.95652174,8.618213157,-19,-230
85790,510.1449275,50.56018386,102,-230
84454,319.1304348,29.64665326,113,-230
24997,159.4202899,15.80005745,3,-230
21373,1401.449275,138.8968687,99,-230
64516,579.7101449,43.09106579,86,-230
88373,579.7101449,57.45475438,115,-230
79954,28.98550725,120,-230,
9793,246.3768116,21.83280666,76,-230
56089,286.9565217,28.44010342,111,-230
32849,478.2608696,28.72737719,103,-230
30106,68.80289855,85,-230,
5388,55.07246377,5.458201666,77,-230
78027,641.7391304,56.00976731,132,-230
85683,394.2028986,20.10916403,75,-230
87784,779.7101449,77.27664464,72,-230
70524,434.7826087,6.03274921,89,-230
80179,275.3623188,27.29100833,97,-230
2239,827.5362319,82.01666188,82,-230
97356,102.2608696,48,-230,
10088,962.3188406,95.37489227,121,-230
72430,107.2463768,10.62912956,100,-230
42641,550.7246377,54.58201666,114,-230
46975,255.0724638,25.28009193,124,-230
11426,1364.927536,135.2772192,59,-230
60436,152.5101449,14.3636886,53,-230
20747,414.4927536,41.08014938,123,-230
98795,502.6086957,34.24303361,112,-230
73682,85,-230,,
18552,434.7826087,26.42918702,40,-230
79224,917.426087,129,-230,
95123,133.9130435,13.27204826,63,-230
94742,220.2898551,21.83280666,119,-230
92028,86.95652174,0.861821316,60,-230
31485,217.3913043,17.95461074,111,-230
43449,1501.73913,148.8365412,108,-230
78174,220.2898551,21.83280666,105,-230
4846,806.0869565,79.89083597,98,-230
83522,434.7826087,18.12697501,57,-230
14755,147.1594203,14.5848894,120,-230
29942,602.8985507,59.75294456,116,-230
30657,96,-230,,
51807,611.884058,60.64349325,93,-230
38919,869.5652174,25.85463947,109,-230
49386,434.7826087,11.77822465,44,-230
37649,97,-230,,
20115,582.0289855,18.96006895,85,-230
66544,255.0724638,25.28009193,-38,-230
40242,628.9855072,62.3384085,67,-230
56592,582.6086957,57.74202815,84,-230
28418,14.49275362,1.43636886,43,-230
6882,581.4202899,57.62424591,125,-230
33679,457.9710145,28.72737719,63,-230
4845,194.2028986,19.24734272,23,-230
64057,103.4782609,10.25567366,28,-230
86865,252.173913,24.99281816,106,-230
24888,19.71014493,1.953461649,86,-230
77795,1201.449275,119.0749785,113,-230
47403,76.23188406,7.555300201,83,-230
32987,162.3188406,16.08733123,113,-230
48411,452.173913,44.81470842,93,-230
82583,1449.275362,143.636886,132,-230
15901,220.5797101,21.86153404,81,-230
60000,144.9275362,14.3636886,90,-229
792,101.4492754,10.05458202,106,-230
77239,1391.304348,137.8914105,124,-230
37624,386.9565217,36.19649526,127,-230
27969,347.826087,34.47285263,50,-230
80642,28.98550725,2.647515082,125,-230
68396,417.3913043,41.36742315,69,-230
82439,785.5072464,77.85119219,16,-229
83456,869.5652174,86.18213157,128,-230
17193,176.8115942,17.52370009,106,-230
82866,797.1014493,79.00028727,69,-230
28049,228.9855072,22.69462798,115,-230
19469,263.7681159,26.14191324,83,-230
25995,107.2463768,10.62912956,66,-230
31,197.9710145,19.62079862,66,-230
63507,156.5217391,3.921286986,132,-230
14685,354.2028986,12.06549842,124,-230
73333,942.0289855,93.36397587,132,-230
66984,202.8985507,20.10916403,71,-230
15937,113.0434783,11.2036771,121,-230
86808,327.6811594,32.47629991,129,-230
98115,192.7536232,19.10370583,127,-230
45405,350.7246377,34.7601264,122,-230
21574,88.76521739,8.797471991,-12,-229
61649,26.08695652,2.585463947,126,-230
87424,116.8115942,0.861821316,71,-229
32588,171.0144928,16.94915254,97,-230
15844,724.6376812,57.54093651,120,-230
77276,289.8550725,20.10916403,96,-230
45987,208.6956522,18.67279517,125,-230
72312,147.826087,14.65096237,44,-229
17691,33.91304348,3.361103131,60,-230
67428,152.8231884,102,-230,
90153,28.69275362,2.843723068,85,-230
44209,217.3913043,21.54553289,50,-230
29571,57.97101449,5.745475438,85,-230
8769,398.5507246,39.50014364,28,-230
9080,374.4927536,37.11577133,66,-230
86482,557.9710145,55.30020109,128,-230
22574,328.9855072,21.54553289,103,-230
9435,14.49275362,131,-230,
24164,1884.057971,186.7279517,89,-230
91254,217.3913043,21.54553289,129,-230
34124,353.6231884,22.40735421,114,-230
50022,202.8985507,20.10916403,114,-230
75227,1037.681159,102.8440103,132,-230
16391,627.5362319,28.72737719,120,-230
75883,57.97101449,90,-230,
41746,1866.956522,185.0330365,112,-230
63319,1266.666667,125.5386383,80,-230
66174,124.6376812,12.35277219,94,-230
97196,237.6811594,23.5564493,-2,-230
14055,326.0869565,32.31829934,114,-230
47566,225.2173913,22.32117208,57,-230
52630,144.9275362,127,-230,
6855,-609,9999999770,,
4033,579.7101449,57.45475438,45,-230
6173,101,-230,,
10068,1364.927536,135.2772192,121,-230
40774,68.4057971,6.779661017,84,-230
11231,1473.043478,145.9925309,113,-230
17671,34.7826087,130,-230,
55057,244.6376812,24.24590635,117,-230
22228,220.2898551,21.83280666,125,-230
26889,62.31884058,6.176386096,113,-230
17556,92.75362319,9.192760701,66,-230
40535,359.7101449,35.65067509,71,-230
62302,48.69565217,3.447285263,117,-230
5401,13.91304348,1.378914105,69,-230
34993,724.6376812,37.34559035,86,-230
41651,197.1014493,8.330652111,100,-230
32817,86.95652174,8.618213157,67,-229
71536,493.3333333,48.89399598,105,-229
83202,575.0724638,56.99511635,26,-230
71990,1996.231884,197.8454467,100,-230
75801,159.4202899,125,-230,
30261,750.1449275,74.34645217,130,-230
22351,1843.768116,182.7348463,111,-230
60738,20.28985507,-608,-228,
5038,214.4927536,21.25825912,0,-230
67039,56.52173913,5.601838552,67,-230
23324,550.7246377,8.761850043,96,-230
72329,613.0434783,60.75840276,125,-230
79578,614.4927536,60.90203964,83,-230
95573,933.3333333,92.50215455,127,-230
38956,165.2173913,16.374605,77,-230
67803,493.6231884,7.900028727,53,-230
13232,260.5797101,102,-229,
51548,478.2608696,47.40017236,120,-230
21170,231.884058,22.98190175,109,-230
29961,588.4057971,58.3165757,92,-230
37018,202.8985507,20.10916403,86,-230
